('SI--3331-35', 'SI20MA-6-16'):455
('SI--3331-35', 'SI20BFT8-78'):358
('SI--UBA2G85', 'SI20MA-6-16'):301
('SI--UBA2G85', 'SI20BFT8-78'):204
('SI-----1-04', 'SI20LAC8B10'):408
('SI--HA-2E15', 'SI20LAC8B10'):440
('SI20PCC2A95', 'SI20LAC8B10'):408
('SI-P221-465', 'SI20LAC8B10'):564
('CLP20ULZ5-79', 'SI20LAC8B10'):410
('SI-----1-05', 'SI20LAC8B10'):338
('SI--PGB2C85', 'SI20LAC8B10'):399
('SI-----1-01', 'SI20LAC8B10'):486
('SI-----1-01', 'SI20UBA5B46'):166
('SI-----1-01', 'SI--BAW8-10'):213
('SI-----1-01', 'SI20HB-4D40'):436
('SI--HA-2-79', 'SI20MA-9-05'):277
('SI--HA-2-79', 'SI20SGA8-10'):359
('SI--HA-2-79', 'SI20UBA7C-20'):445
('SI--HA-2-79', 'SI20MBA8B10'):495
('SI--HA-2-79', 'SI20MKW8-10'):264
('SP--MB-2-85', 'SI20E--7-25'):354
('SI--HA-2-79', 'SI20SGC8-10'):281
('SI--HA-2-79', 'SI20PAR8-06'):392
('SI--HA-2-79', 'SI20TPI10A8-26'):443
('SI--HA-2-79', 'SI20LCL8B10'):414
('SI--HA-2-85', 'SI20UBA8-61'):128
('SI--HA-2-85', 'SI20UBA5B47'):102
('SI--HA-2-85', 'SI20MA-9-06'):69
('SI--HA-2-85', 'SI20PAD8-10'):95
('SI--HA-2-85', 'SI20BBA8-46'):336
('SI20---2M53', 'SI20UBA8-61'):180
('SI20---2M53', 'SI20UBA5B47'):154
('SI20---2M53', 'SI20MA-9-06'):121
('SI20---2M53', 'SI20PAD8-10'):530
('SI20---2M53', 'SI20BBA8-46'):544
('SI-----1-01', 'SI20SGM8-43'):260
('SI-----1-01', 'SI20CHA8-10'):260
('SI-----1-01', 'SI--SA-2-20'):103
('SI--3332-01', 'SI20B--8-52'):636
('SI--UM-2-35', 'SI20B--8-52'):449
('SI--HA-2-84', 'SI20MBX8-10'):270
('SI--HA-2-84', 'SI20MBA8-10'):270
('SI--EK-2-06', 'SI20MBX8-10'):259
('SI--EK-2-06', 'SI20MBA8-10'):259
('SI--HA-2-88', 'SI20MBX8-10'):370
('SI--HA-2-88', 'SI20MBA8-10'):270
('SI-----2E94', 'SI20MBX8-10'):299
('SI-----2E94', 'SI20MBA8-10'):299
('SI--HA-2-96', 'SI20MBX8-10'):390
('SI--HA-2-96', 'SI20MBA8-10'):290
('SI--PAC2B45', 'SI20MBX8-10'):259
('SI--PAC2B45', 'SI20MBA8-10'):259
('SI--M--2D00', 'SI20UMC5E50'):332
('SI--M--2D00', 'SI20BBA8-40'):94
('SI--M--2D00', 'SI20E--7-10'):297
('SI--M--2D00', 'SI20UBA3B76'):476
('SI-----1-05', 'SI20UBZ5-68'):429
('SI-----1-05', 'SI20MAW8-10'):95
('SI-----1-05', 'SI20SGA8B26'):354
('SI-----1-05', 'SI--BRU8-22'):416
('SI-----1-05', 'SI20LCB6B41'):230
('SI--PGB2B86', 'SI20HA-6-70'):135
('SI-----2E86', 'SI20HA-6-70'):407
('SI--LOG2-50', 'SI20HA-6-70'):123
('SI--GM-2B89', 'SI20HA-6-70'):135
('SI--LCA2B60', 'SI20HA-6-70'):361
('SI--HB-2A40', 'SI20HA-6-70'):191
('SI20---3G77', 'SI20HA-6-70'):192
('SI--5552-103', 'SI20HA-6-70'):166
('SI--PAC2B87', 'SI20HA-6-70'):135
('SI--LOG2-80', 'SI20HA-6-70'):207
('SI--HA-2-84', 'SI20HA-6-70'):251
('SI--EK-2-06', 'SI20HA-6-70'):334
('SI-----2H85', 'SI20HA-6-70'):338
('SP20MBL2-95', 'SI20HA-6-70'):367
('SI--3331-35', 'SI20HA-6-70'):982
('SI--HA-2-88', 'SI20HA-6-70'):251
('SI-P221-3654', 'SI-----1-09'):383
('SI--SG-2-18', 'SI-----1-09'):163
('SI20TP-265', 'SI-----1-09'):125
('SI--LD-2-65', 'SI-----1-09'):385
('SI--EKG2-10', 'SI-----1-09'):439
('SI20XKA2-75', 'SI-----1-09'):475
('SI20---3-71', 'SI-----1-09'):237
('SI20PCB3B70', 'SI-----1-09'):423
('SI--SG-2-95', 'SI-----1-09'):163
('SI--B--2-68', 'SI-----1-09'):101
('SI--LAB2-10', 'SI-----1-09'):333
('SP20MBL2-98', 'SI-----1-09'):152
('SI20PCC2A96', 'SI-----1-09'):187
('SI--BAA2-21', 'SI-----1-09'):533
('SI--BBA2-85', 'SI-----1-09'):567
('SI20LDK3B71', 'SI-----1-09'):68
('SI-P221-95', 'SI-----1-09'):193
('SI--CYA2-89', 'SI-----1-09'):346
('SI20UBA5-50', 'SI-----1-09'):86
('SI20BAT2-75', 'SI-----1-09'):222
('SI-----2M36', 'SI-----1-09'):517
('SP--B--2-60', 'SI-----1-09'):500
('SI-P2I-16', 'SI-----1-09'):101
('SP20MKA3-80', 'SI-----1-09'):157
('SI--HA-2-94', 'SI-----1-09'):210
('SI20UMC3M80', 'SI-----1-09'):199
('SI--M--2C00', 'SI-----1-09'):66
('SP--CJP2-41', 'SI-----1-09'):113
('SP20MBK4H40', 'SI-----1-09'):143
('SI-----5-23', 'SI-----1-09'):128
('SI20BAW2-85', 'SI-----1-09'):211
('SI20TPI19II2-10', 'SI20ACA8-27'):244
('SI20BAB2-3', 'SI20ACA8-27'):330
('SI20USC2-12', 'SI20ACA8-27'):487
('SI20PUR2J85', 'SI20ACA8-27'):328
('SI--HA-2-88', 'SI20ACA8-27'):350
('SI20---2M10', 'SI20BBA8-40'):229
('SI--HA-2A86', 'SI20BBA8-40'):195
('SI20UBA5-10', 'SI20BBA8-40'):87
('SI--PAD2-85', 'SI20BBA8-40'):322
('SI--MA-2E10', 'SI20BBA8-40'):403
('SI-----5-21', 'SI20BBA8-40'):90
('SI20LDK2B05', 'SI20BBA8-40'):175
('SI-----2E85', 'SI20BBA8-40'):362
('SI20QU-2-85', 'SI20BBA8-40'):331
('SI---5P2A10', 'SI20BBA8-40'):358
('SI--UBA2K60', 'SI20BBA8-40'):370
('SI-----1-05', 'SI20UBA5C-20'):383
('SI-----1-05', 'SI20SGM8-41'):359
('SI-----1-05', 'SI20MAX8-10'):274
('SI-----1-05', 'SI20USX2-45'):342
('SI-----1-05', 'SI20UEX2-65'):321
('SI-----1-05', 'SI20ACA8-26'):469
('SI-----1-05', 'SI20UBA5-60'):281
('SI---5P2-10', 'SI20MAJ8-10'):349
('SI---5P2-10', 'SI20HA-6-70'):689
('SI---5P2-10', 'SI20HSK-8B28'):375
('SI---5P2-10', 'SI--BFT8-10'):419
('SI---5P2-10', 'SI20MKA8-10'):353
('SI20LDK4B41', 'SI20MAJ8-10'):121
('SI20LDK4B41', 'SI20HA-6-70'):461
('SI20LDK4B41', 'SI20HSK-8B28'):147
('SI20LDK4B41', 'SI--BFT8-10'):191
('SI20LDK4B41', 'SI20MKA8-10'):125
('SI--EK-2-86', 'SI20MAJ8-10'):295
('SI--EK-2-86', 'SI20HA-6-70'):635
('SI--EK-2-86', 'SI20HSK-8B28'):321
('SI--EK-2-86', 'SI--BFT8-10'):365
('SI--EK-2-86', 'SI20MKA8-10'):299
('SI--L--2-45', 'SI20MAJ8-10'):329
('SI--L--2-45', 'SI20HA-6-70'):669
('SI--L--2-45', 'SI20HSK-8B28'):355
('SI--L--2-45', 'SI--BFT8-10'):399
